incubation_months,return_rate,years,future_value
12,0.03,0,6960.0
12,0.03,5,8068.5
12,0.03,10,9353.7
12,0.03,15,10843.5
12,0.03,20,12570.5
12,0.03,30,16902.5
12,0.05,0,6960.0
12,0.05,5,8882.5
12,0.05,10,11337.5
12,0.05,15,14475.4
12,0.05,20,18479.5
12,0.05,30,30119.3
12,0.07,0,6960.0
12,0.07,5,9760.9
12,0.07,10,13684.1
12,0.07,15,19185.5
12,0.07,20,26898.6
12,0.07,30,52891.9
24,0.03,0,13920.0
24,0.03,5,16137.1
24,0.03,10,18707.4
24,0.03,15,21687.0
24,0.03,20,25141.1
24,0.03,30,33805.0
24,0.05,0,13920.0
24,0.05,5,17765.1
24,0.05,10,22675.0
24,0.05,15,28950.9
24,0.05,20,36959.0
24,0.05,30,60238.6
24,0.07,0,13920.0
24,0.07,5,19521.8
24,0.07,10,27368.2
24,0.07,15,38371.0
24,0.07,20,53797.2
24,0.07,30,105783.9
36,0.03,0,20880.0
36,0.03,5,24205.6
36,0.03,10,28061.1
36,0.03,15,32530.5
36,0.03,20,37711.6
36,0.03,30,50707.5
36,0.05,0,20880.0
36,0.05,5,26647.6
36,0.05,10,34012.5
36,0.05,15,43426.3
36,0.05,20,55438.5
36,0.05,30,90357.9
36,0.07,0,20880.0
36,0.07,5,29282.7
36,0.07,10,41052.3
36,0.07,15,57556.5
36,0.07,20,80695.8
36,0.07,30,158675.9
